zip,lat,lng,city,state_name
601,18.18004,-66.75218,Adjuntas,Puerto Rico
602,18.36073,-67.17517,Aguada,Puerto Rico
603,18.45439,-67.12202,Aguadilla,Puerto Rico
606,18.16724,-66.93828,Maricao,Puerto Rico
610,18.29032,-67.12243,Anasco,Puerto Rico
612,18.40699,-66.70803,Arecibo,Puerto Rico
616,18.41753,-66.66814,Bajadero,Puerto Rico
617,18.44124,-66.55917,Barceloneta,Puerto Rico
622,17.99174,-67.15248,Boqueron,Puerto Rico
623,18.08355,-67.15417,Cabo Rojo,Puerto Rico
624,18.06465,-66.71823,Penuelas,Puerto Rico
627,18.419,-66.86033,Camuy,Puerto Rico
631,18.18555,-66.83327,Castaner,Puerto Rico
637,18.07982,-66.94274,Sabana Grande,Puerto Rico
638,18.28904,-66.5151,Ciales,Puerto Rico
641,18.26408,-66.71376,Utuado,Puerto Rico
646,18.43401,-66.2833,Dorado,Puerto Rico
647,17.96612,-66.94383,Ensenada,Puerto Rico
650,18.34321,-66.58601,Florida,Puerto Rico
652,18.45542,-66.60635,Garrochales,Puerto Rico
653,17.98574,-66.89033,Guanica,Puerto Rico
656,18.0528,-66.79182,Guayanilla,Puerto Rico
659,18.41069,-66.79648,Hatillo,Puerto Rico
660,18.13418,-67.11402,Hormigueros,Puerto Rico
662,18.46208,-67.01445,Isabela,Puerto Rico
664,18.21152,-66.5889,Jayuya,Puerto Rico
667,18.01227,-67.04089,Lajas,Puerto Rico
669,18.27102,-66.86982,Lares,Puerto Rico
670,18.23777,-66.98877,Las Marias,Puerto Rico
674,18.42123,-66.49004,Manati,Puerto Rico
676,18.3779,-67.08083,Moca,Puerto Rico
677,18.3357,-67.23168,Rincon,Puerto Rico
678,18.43269,-66.92812,Quebradillas,Puerto Rico
680,18.16327,-67.36195,Mayaguez,Puerto Rico
682,18.22117,-67.1538,Mayaguez,Puerto Rico
683,18.10998,-67.0373,San German,Puerto Rico
685,18.33625,-66.97225,San Sebastian,Puerto Rico
687,18.31708,-66.4203,Morovis,Puerto Rico
688,18.38056,-66.62425,Sabana Hoyos,Puerto Rico
690,18.49567,-67.09825,San Antonio,Puerto Rico
692,18.40845,-66.33691,Vega Alta,Puerto Rico
693,18.42132,-66.40012,Vega Baja,Puerto Rico
694,18.48329,-66.39261,Vega Baja,Puerto Rico
698,18.06728,-66.85273,Yauco,Puerto Rico
703,18.24841,-66.13119,Aguas Buenas,Puerto Rico
704,17.96719,-66.22017,Aguirre,Puerto Rico
705,18.12946,-66.26477,Aibonito,Puerto Rico
707,18.01814,-65.92201,Maunabo,Puerto Rico
714,17.99854,-66.05606,Arroyo,Puerto Rico
715,18.01172,-66.55985,Mercedita,Puerto Rico
716,17.9994,-66.60007,Ponce,Puerto Rico
717,18.00333,-66.61331,Ponce,Puerto Rico
718,18.2333,-65.76108,Naguabo,Puerto Rico
719,18.2888,-66.25336,Naranjito,Puerto Rico
720,18.21772,-66.42817,Orocovis,Puerto Rico
723,18.03237,-66.01233,Patillas,Puerto Rico
725,18.21858,-66.04275,Caguas,Puerto Rico
727,18.21495,-66.07356,Caguas,Puerto Rico
728,18.00627,-66.6612,Ponce,Puerto Rico
729,18.33114,-65.88722,Canovanas,Puerto Rico
730,18.03091,-66.61659,Ponce,Puerto Rico
731,18.09775,-66.63355,Ponce,Puerto Rico
735,18.25365,-65.68306,Ceiba,Puerto Rico
736,18.10652,-66.15258,Cayey,Puerto Rico
738,18.31828,-65.66785,Fajardo,Puerto Rico
739,18.17681,-66.16055,Cidra,Puerto Rico
740,18.33221,-65.63431,Puerto Real,Puerto Rico
741,18.16564,-65.75563,Punta Santiago,Puerto Rico
745,18.34827,-65.8172,Rio Grande,Puerto Rico
751,18.01023,-66.24751,Salinas,Puerto Rico
754,18.1457,-65.97607,San Lorenzo,Puerto Rico
757,17.99727,-66.38891,Santa Isabel,Puerto Rico
765,18.12851,-65.44093,Vieques,Puerto Rico
766,18.13299,-66.47703,Villalba,Puerto Rico
767,18.07053,-65.89604,Yabucoa,Puerto Rico
769,18.097,-66.36101,Coamo,Puerto Rico
771,18.18748,-65.86931,Las Piedras,Puerto Rico
772,18.43267,-65.90836,Loiza,Puerto Rico
773,18.34173,-65.7274,Luquillo,Puerto Rico
775,18.31347,-65.29017,Culebra,Puerto Rico
777,18.22356,-65.90881,Juncos,Puerto Rico
778,18.26338,-65.97936,Gurabo,Puerto Rico
780,18.10417,-66.57174,Coto Laurel,Puerto Rico
782,18.22544,-66.22216,Comerio,Puerto Rico
783,18.3041,-66.32847,Corozal,Puerto Rico
784,18.00543,-66.13392,Guayama,Puerto Rico
786,18.15536,-66.22992,La Plata,Puerto Rico
791,18.14069,-65.818,Humacao,Puerto Rico
794,18.20155,-66.30872,Barranquitas,Puerto Rico
795,18.05931,-66.50178,Juana Diaz,Puerto Rico
901,18.46532,-66.10485,San Juan,Puerto Rico
906,18.46446,-66.09499,San Juan,Puerto Rico
907,18.45313,-66.07778,San Juan,Puerto Rico
909,18.44153,-66.06723,San Juan,Puerto Rico
911,18.45135,-66.05631,San Juan,Puerto Rico
912,18.44534,-66.06018,San Juan,Puerto Rico
913,18.45022,-66.04267,San Juan,Puerto Rico
915,18.43691,-66.04562,San Juan,Puerto Rico
917,18.4214,-66.05005,San Juan,Puerto Rico
918,18.42138,-66.06588,San Juan,Puerto Rico
920,18.41571,-66.08889,San Juan,Puerto Rico
921,18.39224,-66.08853,San Juan,Puerto Rico
923,18.40953,-66.03866,San Juan,Puerto Rico
924,18.39827,-66.01289,San Juan,Puerto Rico
925,18.40031,-66.05055,San Juan,Puerto Rico
926,18.3462,-66.05234,San Juan,Puerto Rico
927,18.38875,-66.07189,San Juan,Puerto Rico
934,18.41138,-66.12399,Fort Buchanan,Puerto Rico
936,18.39548,-66.07376,San Juan,Puerto Rico
949,18.43017,-66.20883,Toa Baja,Puerto Rico
950,18.46208,-66.2376,Toa Baja,Puerto Rico
951,18.42842,-66.25661,Toa Baja,Puerto Rico
952,18.42748,-66.18207,Sabana Seca,Puerto Rico
953,18.36312,-66.2475,Toa Alta,Puerto Rico
956,18.32082,-66.17175,Bayamon,Puerto Rico
957,18.36735,-66.18869,Bayamon,Puerto Rico
959,18.38485,-66.15583,Bayamon,Puerto Rico
960,18.41701,-66.14446,Bayamon,Puerto Rico
961,18.41011,-66.16538,Bayamon,Puerto Rico
962,18.43904,-66.13928,Catano,Puerto Rico
965,18.43385,-66.11486,Guaynabo,Puerto Rico
966,18.40226,-66.11757,Guaynabo,Puerto Rico
968,18.40617,-66.10127,Guaynabo,Puerto Rico
969,18.36751,-66.10852,Guaynabo,Puerto Rico
971,18.32131,-66.11811,Guaynabo,Puerto Rico
976,18.33844,-65.9921,Trujillo Alto,Puerto Rico
979,18.43649,-66.01699,Carolina,Puerto Rico
982,18.40992,-65.9917,Carolina,Puerto Rico
983,18.41804,-65.97632,Carolina,Puerto Rico
985,18.40825,-65.94842,Carolina,Puerto Rico
987,18.33935,-65.94313,Carolina,Puerto Rico
1001,42.06258,-72.6259,Agawam,Massachusetts
1002,42.37492,-72.4621,Amherst,Massachusetts
1003,42.39192,-72.52479,Amherst,Massachusetts
1005,42.42018,-72.10615,Barre,Massachusetts
1007,42.27875,-72.40036,Belchertown,Massachusetts
1008,42.18428,-72.95203,Blandford,Massachusetts
1009,42.20972,-72.33971,Bondsville,Massachusetts
1010,42.12863,-72.20624,Brimfield,Massachusetts
1011,42.29653,-72.95969,Chester,Massachusetts
1012,42.38698,-72.84632,Chesterfield,Massachusetts
1013,42.1595,-72.60824,Chicopee,Massachusetts
1020,42.17637,-72.56537,Chicopee,Massachusetts
1022,42.19731,-72.54267,Chicopee,Massachusetts
1026,42.4633,-72.92024,Cummington,Massachusetts
